┌────────────────────┬──────────────────────────────┬──────────────────┐
│ role_name          │ resource                     │ action           │
├────────────────────┼──────────────────────────────┼──────────────────┤
│ accountant         │ accounting.chart_of_accounts │ create           │
│ accountant         │ accounting.chart_of_accounts │ delete           │
│ accountant         │ accounting.chart_of_accounts │ read             │
│ accountant         │ accounting.chart_of_accounts │ update           │
│ accountant         │ accounting.dashboard         │ read             │
│ accountant         │ accounting.entries           │ create           │
│ accountant         │ accounting.entries           │ delete           │
│ accountant         │ accounting.entries           │ read             │
│ accountant         │ accounting.entries           │ update           │
│ accountant         │ accounting.reconciliation    │ read             │
│ accountant         │ accounting.reports           │ export           │
│ accountant         │ accounting.reports           │ read             │
│ accountant         │ accounting.trial_balance     │ read             │
│ accountant         │ companies                    │ read             │
│ accountant         │ dashboard                    │ read             │
│ accountant         │ files                        │ read             │
│ accountant         │ finance                      │ export           │
│ accountant         │ finance                      │ read             │
│ accountant         │ finance.dashboard            │ read             │
│ accountant         │ finance.reports              │ export           │
│ accountant         │ fiscal.dashboard             │ read             │
│ accountant         │ fiscal.reports               │ export           │
│ accountant         │ reports                      │ export           │
│ accountant         │ reports                      │ generate         │
│ accountant         │ reports                      │ read             │
│ accounting_manager │ accounting.chart_of_accounts │ create           │
│ accounting_manager │ accounting.chart_of_accounts │ delete           │
│ accounting_manager │ accounting.chart_of_accounts │ read             │
│ accounting_manager │ accounting.chart_of_accounts │ update           │
│ accounting_manager │ accounting.dashboard         │ read             │
│ accounting_manager │ accounting.entries           │ create           │
│ accounting_manager │ accounting.entries           │ delete           │
│ accounting_manager │ accounting.entries           │ read             │
│ accounting_manager │ accounting.entries           │ update           │
│ accounting_manager │ accounting.reconciliation    │ read             │
│ accounting_manager │ accounting.reports           │ export           │
│ accounting_manager │ accounting.reports           │ read             │
│ accounting_manager │ accounting.trial_balance     │ read             │
│ accounting_manager │ companies                    │ read             │
│ accounting_manager │ dashboard                    │ read             │
│ accounting_manager │ files                        │ read             │
│ accounting_manager │ finance                      │ read             │
│ accounting_manager │ finance.dashboard            │ read             │
│ accounting_manager │ fiscal.dashboard             │ read             │
│ accounting_manager │ people                       │ read             │
│ accounting_manager │ reports                      │ export           │
│ accounting_manager │ reports                      │ generate         │
│ accounting_manager │ reports                      │ read             │
│ admin_master       │ applications                 │ advance          │
│ admin_master       │ applications                 │ create           │
│ admin_master       │ applications                 │ read             │
│ admin_master       │ applications                 │ reject           │
│ admin_master       │ applications                 │ update           │
│ admin_master       │ applications.history         │ read             │
│ admin_master       │ audit_logs                   │ read             │
│ admin_master       │ candidates                   │ create           │
│ admin_master       │ candidates                   │ delete           │
│ admin_master       │ candidates                   │ read             │
│ admin_master       │ candidates                   │ update           │
│ admin_master       │ candidates.documents         │ manage           │
│ admin_master       │ candidates.documents         │ read             │
│ admin_master       │ candidates.profile           │ read             │
│ admin_master       │ chat                         │ create           │
│ admin_master       │ chat                         │ handoff          │
│ admin_master       │ chat                         │ read             │
│ admin_master       │ companies                    │ create           │
│ admin_master       │ companies                    │ delete           │
│ admin_master       │ companies                    │ read             │
│ admin_master       │ companies                    │ update           │
│ admin_master       │ contracts                    │ create           │
│ admin_master       │ contracts                    │ read             │
│ admin_master       │ contracts                    │ renew            │
│ admin_master       │ contracts                    │ update           │
│ admin_master       │ dashboard                    │ read             │
│ admin_master       │ documents                    │ create           │
│ admin_master       │ documents                    │ read             │
│ admin_master       │ documents                    │ version          │
│ admin_master       │ files                        │ delete           │
│ admin_master       │ files                        │ read             │
│ admin_master       │ files                        │ upload           │
│ admin_master       │ jobs                         │ close            │
│ admin_master       │ jobs                         │ create           │
│ admin_master       │ jobs                         │ delete           │
│ admin_master       │ jobs                         │ publish          │
│ admin_master       │ jobs                         │ read             │
│ admin_master       │ jobs                         │ update           │
│ admin_master       │ lgpd                         │ manage_consent   │
│ admin_master       │ lgpd                         │ manage_retention │
│ admin_master       │ lgpd                         │ read             │
│ admin_master       │ notifications                │ create           │
│ admin_master       │ notifications                │ read             │
│ admin_master       │ people                       │ create           │
│ admin_master       │ people                       │ delete           │
│ admin_master       │ people                       │ read             │
│ admin_master       │ people                       │ update           │
│ admin_master       │ products                     │ create           │
│ admin_master       │ products                     │ delete           │
│ admin_master       │ products                     │ read             │
│ admin_master       │ products                     │ update           │
│ admin_master       │ purchase_orders              │ confirm          │
│ admin_master       │ purchase_orders              │ create           │
│ admin_master       │ purchase_orders              │ read             │
│ admin_master       │ purchase_orders              │ update           │
│ admin_master       │ purchase_receipts            │ confirm          │
│ admin_master       │ purchase_receipts            │ create           │
│ admin_master       │ purchase_receipts            │ read             │
│ admin_master       │ recruitment                  │ advance          │
│ admin_master       │ recruitment                  │ create           │
│ admin_master       │ recruitment                  │ delete           │
│ admin_master       │ recruitment                  │ read             │
│ admin_master       │ recruitment                  │ reject           │
│ admin_master       │ recruitment                  │ update           │
│ admin_master       │ recruitment_demands          │ create           │
│ admin_master       │ recruitment_demands          │ delete           │
│ admin_master       │ recruitment_demands          │ read             │
│ admin_master       │ recruitment_demands          │ update           │
│ admin_master       │ recruitment.stage            │ manage           │
│ admin_master       │ reports                      │ read             │
│ admin_master       │ roles                        │ create           │
│ admin_master       │ roles                        │ delete           │
│ admin_master       │ roles                        │ read             │
│ admin_master       │ roles                        │ update           │
│ admin_master       │ security_events              │ read             │
│ admin_master       │ service_orders               │ complete         │
│ admin_master       │ service_orders               │ create           │
│ admin_master       │ service_orders               │ read             │
│ admin_master       │ service_orders               │ update           │
│ admin_master       │ stock_movements              │ create           │
│ admin_master       │ stock_movements              │ read             │
│ admin_master       │ support_tickets              │ create           │
│ admin_master       │ support_tickets              │ read             │
│ admin_master       │ support_tickets              │ resolve          │
│ admin_master       │ support_tickets              │ update           │
│ admin_master       │ talent_pool                  │ manage           │
│ admin_master       │ talent_pool                  │ match            │
│ admin_master       │ talent_pool                  │ read             │
│ admin_master       │ tasks                        │ assign           │
│ admin_master       │ tasks                        │ create           │
│ admin_master       │ tasks                        │ read             │
│ admin_master       │ tasks                        │ update           │
│ admin_master       │ tenants                      │ create           │
│ admin_master       │ tenants                      │ delete           │
│ admin_master       │ tenants                      │ read             │
│ admin_master       │ tenants                      │ update           │
│ billing_manager    │ billing                      │ cancel           │
│ billing_manager    │ billing                      │ create           │
│ billing_manager    │ billing                      │ export           │
│ billing_manager    │ billing                      │ read             │
│ billing_manager    │ billing                      │ update           │
│ billing_manager    │ companies                    │ read             │
│ billing_manager    │ dashboard                    │ read             │
│ billing_manager    │ files                        │ read             │
│ billing_manager    │ finance                      │ approve          │
│ billing_manager    │ finance                      │ create           │
│ billing_manager    │ finance                      │ export           │
│ billing_manager    │ finance                      │ read             │
│ billing_manager    │ finance                      │ update           │
│ billing_manager    │ finance.accounts_payable     │ create           │
│ billing_manager    │ finance.accounts_payable     │ read             │
│ billing_manager    │ finance.accounts_payable     │ update           │
│ billing_manager    │ finance.billing              │ cancel           │
│ billing_manager    │ finance.billing              │ create           │
│ billing_manager    │ finance.billing              │ read             │
│ billing_manager    │ finance.billing              │ update           │
│ billing_manager    │ finance.dashboard            │ read             │
│ billing_manager    │ fiscal.dashboard             │ read             │
│ billing_manager    │ fiscal.invoices              │ issue            │
│ billing_manager    │ fiscal.invoices              │ read             │
│ billing_manager    │ people                       │ read             │
│ billing_manager    │ reports                      │ export           │
│ billing_manager    │ reports                      │ generate         │
│ billing_manager    │ reports                      │ read             │
│ commercial         │ companies                    │ create           │
│ commercial         │ companies                    │ read             │
│ commercial         │ companies                    │ update           │
│ commercial         │ contracts                    │ create           │
│ commercial         │ contracts                    │ read             │
│ commercial         │ contracts                    │ renew            │
│ commercial         │ contracts                    │ update           │
│ commercial         │ dashboard                    │ read             │
│ commercial         │ documents                    │ create           │
│ commercial         │ documents                    │ read             │
│ commercial         │ files                        │ read             │
│ commercial         │ people                       │ read             │
│ commercial         │ purchase_orders              │ create           │
│ commercial         │ purchase_orders              │ read             │
│ commercial         │ purchase_receipts            │ create           │
│ commercial         │ purchase_receipts            │ read             │
│ commercial         │ reports                      │ read             │
│ commercial         │ service_orders               │ create           │
│ commercial         │ service_orders               │ read             │
│ commercial         │ service_orders               │ update           │
│ commercial         │ support_tickets              │ create           │
│ commercial         │ support_tickets              │ read             │
│ commercial         │ tasks                        │ create           │
│ commercial         │ tasks                        │ read             │
│ facilities_manager │ dashboard                    │ read             │
│ facilities_manager │ documents                    │ create           │
│ facilities_manager │ documents                    │ read             │
│ facilities_manager │ files                        │ read             │
│ facilities_manager │ service_orders               │ complete         │
│ facilities_manager │ service_orders               │ create           │
│ facilities_manager │ service_orders               │ read             │
│ facilities_manager │ service_orders               │ update           │
│ facilities_manager │ tasks                        │ assign           │
│ facilities_manager │ tasks                        │ create           │
│ facilities_manager │ tasks                        │ read             │
│ facilities_manager │ tasks                        │ update           │
│ finance            │ billing                      │ create           │
│ finance            │ billing                      │ read             │
│ finance            │ billing                      │ update           │
│ finance            │ companies                    │ read             │
│ finance            │ contracts                    │ read             │
│ finance            │ dashboard                    │ read             │
│ finance            │ documents                    │ create           │
│ finance            │ documents                    │ read             │
│ finance            │ files                        │ read             │
│ finance            │ finance                      │ create           │
│ finance            │ finance                      │ export           │
│ finance            │ finance                      │ read             │
│ finance            │ finance                      │ update           │
│ finance            │ finance.accounts_payable     │ create           │
